iter	Logloss
0	0.6103323012
1	0.5432586523
2	0.4889774714
3	0.4454045247
4	0.4136720104
5	0.385507187
6	0.3622803798
7	0.3444554117
8	0.3298766028
9	0.3174941413
10	0.3072144955
11	0.2968824463
12	0.2894903232
13	0.282143425
14	0.2768264578
15	0.271181887
16	0.2663592944
17	0.2629706912
18	0.2594059703
19	0.2562154087
20	0.2540273606
21	0.2521327337
22	0.2498932089
23	0.2479420335
24	0.2466361834
25	0.2450956056
26	0.2440797925
27	0.2427256938
28	0.2416196109
29	0.240650479
30	0.2398016387
31	0.2392444249
32	0.2385536891
33	0.2379287274
34	0.2375461247
35	0.2369146825
36	0.2365745538
37	0.2361590795
38	0.2357764949
39	0.2353362457
40	0.2350271466
41	0.2348300769
42	0.2344835487
43	0.2341775963
44	0.2339345558
45	0.2337210786
46	0.2335206394
47	0.2333994019
48	0.2332373329
49	0.2330935148
50	0.2329603363
51	0.2327672604
52	0.2325995427
53	0.2325123024
54	0.2323687319
55	0.2322709793
56	0.2321959558
57	0.2321162831
58	0.2319950552
59	0.231909702
60	0.2318038153
61	0.2317112611
62	0.2316396667
63	0.2315835542
64	0.2315172208
65	0.2314238173
66	0.231371479
67	0.2313301848
68	0.2312644132
69	0.2312153602
70	0.2311695713
71	0.2311108511
72	0.2310694696
73	0.2310298059
74	0.2309898737
75	0.2309612021
76	0.2309321269
77	0.2308786323
78	0.2308493089
79	0.2308094273
80	0.2307830256
81	0.2307490112
82	0.2307288996
83	0.230703623
84	0.2306734433
85	0.2306587069
86	0.230600433
87	0.2305566182
88	0.2305156489
89	0.230477224
90	0.230453691
91	0.230430843
92	0.2304090366
93	0.2303618753
94	0.2303308646
95	0.2303004505
96	0.2302774835
97	0.2302575562
98	0.2302377197
99	0.2302084067
100	0.2301770046
101	0.2301238092
102	0.2301001915
103	0.2300813708
104	0.2300614135
105	0.2300437183
106	0.2300205783
107	0.2300113847
108	0.2299721212
109	0.2299436858
110	0.2299295515
111	0.2299133008
112	0.2298666117
113	0.2298457177
114	0.2298213793
115	0.2298125149
116	0.2297920453
117	0.2297811484
118	0.2297653924
119	0.2297497573
120	0.2297281845
121	0.2297171512
122	0.2297027201
123	0.2296781426
124	0.2296689513
125	0.2296548278
126	0.2296055554
127	0.2295940139
128	0.2295799026
129	0.2295619592
130	0.2295441013
131	0.229536042
132	0.2295210153
133	0.2295108814
134	0.2294823304
135	0.2294704302
136	0.2294585882
137	0.2294195651
138	0.2293935101
139	0.2293868439
140	0.2293708887
141	0.2293516289
142	0.2293354836
143	0.229322909
144	0.2292837333
145	0.2292723547
146	0.2292611007
147	0.2292561269
148	0.2292432567
149	0.2292248036
150	0.2292133555
151	0.2292040547
152	0.2292019828
153	0.2291927112
154	0.2291752032
155	0.2291644204
156	0.2291505357
157	0.2291444809
158	0.2291401184
159	0.2291319942
160	0.229106179
161	0.2290794632
162	0.2290655286
163	0.229052266
164	0.2290364066
165	0.2290247445
166	0.2290174272
167	0.2290101764
168	0.228995735
169	0.2289848187
170	0.2289681733
171	0.2289639192
172	0.2289575272
173	0.2289518999
174	0.2289365622
175	0.2289263181
176	0.2289260731
177	0.2289178341
178	0.2289070202
179	0.2288890832
180	0.2288875628
181	0.2288825483
182	0.2288693614
183	0.2288619191
184	0.2288359238
185	0.2288291882
186	0.2288223315
187	0.2288105469
188	0.2287957188
189	0.2287718499
190	0.2287636933
191	0.2287537282
192	0.2287357759
193	0.2287316297
194	0.2287240823
195	0.2287205842
196	0.2287123754
197	0.2286817607
198	0.228640303
199	0.2286342486
200	0.22863109
201	0.228622315
202	0.2286189036
203	0.2286122916
204	0.2286070067
205	0.2285927907
206	0.2285869169
207	0.2285743089
208	0.2285668713
209	0.2285634249
210	0.2285542984
211	0.2285394744
212	0.2285298706
213	0.2285140952
214	0.2285000962
215	0.2284919899
216	0.2284919839
217	0.2284855035
218	0.2284791861
219	0.2284744263
220	0.228465737
221	0.2284443138
222	0.2284411788
223	0.2284315496
224	0.2283823866
225	0.2283730213
226	0.2283699248
227	0.2283652379
228	0.2283397056
229	0.2283315735
230	0.2283159519
231	0.2283080155
232	0.2282993078
233	0.2282812933
234	0.2282724938
235	0.2282684436
236	0.2282612263
237	0.2282584899
238	0.2282505691
239	0.2282413878
240	0.2282138146
241	0.2282054669
242	0.228195756
243	0.2281888254
244	0.228183434
245	0.2281707568
246	0.2281638749
247	0.2281615959
248	0.2281390178
249	0.2281296024
250	0.2281234422
